feature,coefficient,abs_coef
cgm_at_meal,68.57009150734815,68.57009150734815
cgm_pre_mean,-64.82433224862703,64.82433224862703
cgm_slope_30,-26.13060156065724,26.13060156065724
bio_A1c PDL (Lab),19.0043495171824,19.0043495171824
cgm_slope_15,15.800706327577718,15.800706327577718
cgm_pre_min,13.865532897917708,13.865532897917708
bio_Insulin,7.9577362146946715,7.9577362146946715
carbs,6.5590458179764966,6.5590458179764966
bio_BMI,-5.940762430763474,5.940762430763474
bio_group_encoded,-5.469725797166562,5.469725797166562
hour_sin,4.296808155292694,4.296808155292694
cgm_pre_max,3.9267865993639792,3.9267865993639792
cgm_pre_std,-3.570633450212845,3.570633450212845
protein,-3.5019712385150195,3.5019712385150195
bio_Fasting GLU - PDL (Lab),-2.7527614480858094,2.7527614480858094
meal_breakfast,2.740731668902087,2.740731668902087
meal_snack,-2.422801884920799,2.422801884920799
meal_Lunch,2.2307282621919358,2.2307282621919358
bio_gender_encoded,-2.131406583842726,2.131406583842726
meal_Breakfast,-1.1479297732453355,1.1479297732453355
bio_Age,1.086425316383367,1.086425316383367
meal_dinner,-0.8364323209443678,0.8364323209443678
fiber,-0.6774518500066675,0.6774518500066675
meal_Snack,0.5842516298868237,0.5842516298868237
fat,-0.5420210253813106,0.5420210253813106
meal_Dinner,0.40719748497940594,0.40719748497940594
hour_cos,0.3070802506612587,0.3070802506612587
meal_lunch,-0.29957451435486715,0.29957451435486715
meal_Snacks,-0.24490692595677185,0.24490692595677185
meal_snack 1,0.0,0.0
